### Header (CP-1252 autodetection: “‘quotes’ in quotes”, „größer”, «ŒUF? —DÉÇU…») ###;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
## Enabling decisions & events;;;;;;;;;;;;;;
country-workshop.enable-kosakenstadt_title;Country Workshop: §GKosakenstadt§!;;;;;;;;;;;;;
country-workshop.enable-kosakenstadt_desc;Category: §Ralternative start§!\nCapital: Saratov\n\nEnable their cores, release them as a vassal country, release them as an independent country, or play them as an independent country.\n\n§YFeatures should only be enabled on the very first day of the game before unpausing, even though the decisions to do so are available throughout the first month of the game.§!;;;;;;;;;;;;;
country-workshop.enable-kosakenstadt.name;Country Workshop: $COUNTRY$ has been enabled;;;;;;;;;;;;;
country-workshop.enable-kosakenstadt.desc;\nToday is the day $COUNTRY$ makes its mark.;;;;;;;;;;;;;
country-workshop.enable-kosakenstadt.opt0;At last.;;;;;;;;;;;;;
country-workshop.enable-disunited-states_title;Country Workshop: §GDisunited States§!;;;;;;;;;;;;;
country-workshop.enable-disunited-states_desc;Category: §Ralternative start§!\n\nThe United States broken up by the Disunited States event.\n13 possible starting American countries, all of which can restore the Union.\nFast forwards through the early historical happenings up to the Gadsden Purchase borders along with the Alaska Purchase.\nFast forwards some immigration of European soldiers to prop up the less populated Western and Midwestern breakaway countries.\nSkips the Civil War.\nHawaii starts Westernised.\nReleases Liberia early.\nSets up a couple diplomatic blocs with a very brief truce period.\nPrevents these AI American countries from peacefully uniting with their American neighbours or the reborn Union.\nThe Treaty of Guadalupe Hidalgo is not signed, and the northern Mexican cores are suspended rather than outright removed. They can return by decision with Revolution & Counterrevolution.\nReworked American Restoration CBs, with limited uses until Mass Politics.\n\n§RDue to game limitations it is recommended to save & reload after the Disunited States start has completed initialisation and all outstanding events have been dismissed, but before unpausing as your desired country. Failure to do so may lead to a couple oddities and result in American AI countries underperforming in the opening months of the playthrough.§!\n§YFeatures should only be enabled on the very first day of the game before unpausing, even though the decisions to do so are available throughout the first month of the game.§!;;;;;;;;;;;;;
country-workshop.enable-disunited-states.name;Country Workshop: Disunited States has been enabled;;;;;;;;;;;;;
country-workshop.enable-disunited-states.desc;\nSomething terrible has befallen the union.;;;;;;;;;;;;;
country-workshop.enable-disunited-states.opt0;We can rebuild it.;;;;;;;;;;;;;
country-workshop.disunited-states-start.name;A New Start in the Disunited States?;;;;;;;;;;;;;
country-workshop.disunited-states-start.desc;\nYou have enabled the Disunited States. Choose in what region to play now.\n§B(You can change your mind after picking a region to come back to this choice.)§!\n\n§RDue to game limitations it is recommended to save & reload after the Disunited States start has completed initialisation and all outstanding events have been dismissed, but before unpausing as your desired country. Failure to do so may lead to a couple oddities and result in American AI countries underperforming in the opening months of the playthrough.§!;;;;;;;;;;;;;
country-workshop.disunited-states-start.opt0;Their destiny is theirs to make. §B(Keep playing $COUNTRY$.)§!;;;;;;;;;;;;;
country-workshop.disunited-states-start.opt1;The North awaits. §B(Alaska, Oregon Country, Dakota Republic, New American Alliance.)§!;;;;;;;;;;;;;
country-workshop.disunited-states-start.opt2;The sun rises in the East. §B(Free States, New England, Liberia.)§!;;;;;;;;;;;;;
country-workshop.disunited-states-start.opt3;I wish I was in Dixie. §B(Pueblo Republic, Texas, New Confederacy)§!;;;;;;;;;;;;;
country-workshop.disunited-states-start.opt4;Go West, young man. §B(Hawaii, California Republic, Deseret, Colorado Republic)§!;;;;;;;;;;;;;
## Countries;;;;;;;;;;;;;;
# ### Model;;;;;;;;;;;;;;
# #### Names;;;;;;;;;;;;;;
# XXX;Modelcountry;;;;;;;;;;;;;
# XXX_ADJ;Modelcountryish;;;;;;;;;;;;;
# XXX_absolute_monarchy;Modelcountry;;;;;;;;;;;;;
# XXX_absolute_monarchy_ADJ;Modelcountryish;;;;;;;;;;;;;
# XXX_prussian_constitutionalism;Modelcountry;;;;;;;;;;;;;
# XXX_prussian_constitutionalism_ADJ;Modelcountryish;;;;;;;;;;;;;
# XXX_hms_government;Modelcountry;;;;;;;;;;;;;
# XXX_hms_government_ADJ;Modelcountryish;;;;;;;;;;;;;
# XXX_democracy;Modelcountry;;;;;;;;;;;;;
# XXX_democracy_ADJ;Modelcountryish;;;;;;;;;;;;;
# XXX_presidential_dictatorship;Modelcountry;;;;;;;;;;;;;
# XXX_presidential_dictatorship_ADJ;Modelcountryish;;;;;;;;;;;;;
# XXX_bourgeois_dictatorship;Modelcountry;;;;;;;;;;;;;
# XXX_bourgeois_dictatorship_ADJ;Modelcountryish;;;;;;;;;;;;;
# XXX_proletarian_dictatorship;Modelcountry;;;;;;;;;;;;;
# XXX_proletarian_dictatorship_ADJ;Modelcountryish;;;;;;;;;;;;;
# XXX_fascist_dictatorship;Modelcountry;;;;;;;;;;;;;
# XXX_fascist_dictatorship_ADJ;Modelcountryish;;;;;;;;;;;;;
# XXX_theocracy;Modelcountry;;;;;;;;;;;;;
# XXX_theocracy_ADJ;Modelcountryish;;;;;;;;;;;;;
# XXX_colonial_company;Modelcountry;;;;;;;;;;;;;
# XXX_colonial_company_ADJ;Modelcountryish;;;;;;;;;;;;;
# XXX_dominion;Modelcountry;;;;;;;;;;;;;
# XXX_dominion_ADJ;Modelcountryish;;;;;;;;;;;;;
# XXX;Modelcountry;;;;;;;;;;;;;
# #### Parties;;;;;;;;;;;;;;
# XXX_conservative;Conservative Party;;;;;;;;;;;;;
# XXX_reactionary;Nationalist Party;;;;;;;;;;;;;
# XXX_liberal;Liberal Party;;;;;;;;;;;;;
# XXX_anarcho_liberal;Radical Party;;;;;;;;;;;;;
# XXX_socialist;Socialist Party;;;;;;;;;;;;;
# XXX_communist;Communist Party;;;;;;;;;;;;;
# XXX_fascist;Fascist Party;;;;;;;;;;;;;
### Gotland;;;;;;;;;;;;;;
#### Names;;;;;;;;;;;;;;
GOT;Gotland;;;;;;;;;;;;;
GOT_ADJ;Gotlandic;;;;;;;;;;;;;
GOT_democracy;The Republic of Gotland;;;;;;;;;;;;;
GOT_proletarian_dictatorship;The Democratic People’s Republic of Gotland;;;;;;;;;;;;;
GOT_fascist_dictatorship;The Gutnish State;;;;;;;;;;;;;
GOT_fascist_dictatorship_ADJ;Gutnish;;;;;;;;;;;;;
#### Parties;;;;;;;;;;;;;;
GOT_conservative;Junkerpartiet;;;;;;;;;;;;;
GOT_reactionary;Absolutistisktpartiet;;;;;;;;;;;;;
GOT_liberal;Arbetarepartiet;;;;;;;;;;;;;
GOT_anarcho_liberal;Radikala partiet;;;;;;;;;;;;;
GOT_socialist;Vänsterpartiet;;;;;;;;;;;;;
GOT_communist;Kilbomskommunisterna;;;;;;;;;;;;;
GOT_fascist;Fascistpartiet;;;;;;;;;;;;;
#### Decisions;;;;;;;;;;;;;;
country-workshop.reaffirm-baltic-dominance_title;Reaffirm Baltic Dominance;;;;;;;;;;;;;
country-workshop.reaffirm-baltic-dominance_desc;With the vicious Sound Toll enforced by Denmark broken, trade is once more free to flow in the Baltic Sea. It is in our interests to ensure that the trade that once flowed through the Gulf of Riga and down the Daugava is protected from the Rus’ savages.\n\n§YClaim historical Hanseatic possessions:\n\n• §GÖsel§Y\n• §GRiga§Y\n\nAllows use of special Hanseatic CBs on these claims until the end of the game. The special country modifier keeps track of the Hanseatic claims you have made in its tooltip.§!;;;;;;;;;;;;;
country-workshop.open-svealand_title;Open Svealand;;;;;;;;;;;;;
country-workshop.open-svealand_desc;To maintain the flow of Baltic goods into Scandinavia under favourable terms for the promotion of the welfare of our people, the flag in Visby must once more fly over holdings on the peninsula. Kalmar and Borgholm need to be returned to the path of free trade.;;;;;;;;;;;;;
country-workshop.abolish-north-german-trade_title;Abolish Austro-Prussian Trade Dominance;;;;;;;;;;;;;
country-workshop.abolish-north-german-trade_desc;For too long have the tyrants of Northern Europe in Berlin and Vienna stymied trade within and without the Baltic. The construction of the Kiel Canal served only to further the interests of Berlin, and the supposed liberation of Holstein from Copenhagen put it under a crueler master. We must dismantle their restrictions upon trade throughout the Baltic and at its mouth, as once was and should be again.\n\n§YClaim historical Hanseatic possessions:\n\n• §GKönigsberg§Y\n• §GDanzig§Y\n• §GLübeck§Y\n• §GHamburg§Y\n• §GBremen§Y\n\nAllows use of special Hanseatic CBs on these claims until the end of the game. The special country modifier keeps track of the Hanseatic claims you have made in its tooltip.§!;;;;;;;;;;;;;
country-workshop.reestablish-the-kontore_title;Re-establish the Kontore;;;;;;;;;;;;;
country-workshop.reestablish-the-kontore_desc;Our historical trading partners have turned away from the supremacy of trade, and formed their own insular economies to great detriment to the world at large. It is time that we ensure their ports stay open by claiming back the Kontore that were established at great cost to our merchants in the past. Once again wealth will flow out of Britain, Norway, Russia, and the Low Countries!\n\n§YClaim historical Hanseatic possessions:\n\n• §GLuga§Y\n• §GBergen§Y\n• §GBrugge§Y\n• §GIpswitch§Y\n\nAllows use of special Hanseatic CBs on these claims until the end of the game. The special country modifier keeps track of the Hanseatic claims you have made in its tooltip.§Y;;;;;;;;;;;;;
country-workshop.unite-the-hanseatic-league_title;Unite the Hanseatic League;;;;;;;;;;;;;
country-workshop.unite-the-hanseatic-league_desc;With the restoration of our influence in all spheres of European trade, the time has come to right the greatest tragedy of the League’s collapse. The Low Countries were once a collection of states with whom trade of all forms was greatly encouraged. With the end of our golden age and the office of Stadtholder becoming hereditary, the Netherlands entered the world’s stage as a more consolidated and centralised state. By capitalising on dominance in the Moluccas and the broader East Indies it became a dreadful protectionist institution.\n\nIt is time once more for a foreign flag to ensure that in the Low Countries trade reigns supreme.;;;;;;;;;;;;;
country-workshop.the-hanseatic-league-triumphant_title;Europa är Befriat;;;;;;;;;;;;;
country-workshop.the-hanseatic-league-triumphant_desc;Free trade has been made sovereign once again. The restored Kontore are the new centres of power overseeing the English Channel, the North Sea and the Baltic. All that remains for Europe to be liberated is for $COUNTRY_ADJ$ dominance to be undeniable.\n\n§YAvailable once all foreign cores have been refuted on your Hanseatic possessions. Possessions with oustanding foreign cores will be indicated by a red indicator in the requirement tooltip.§!;;;;;;;;;;;;;
country-workshop.hanseatic-challenge_title;Hanseatic Challenge;;;;;;;;;;;;;
country-workshop.hanseatic-challenge_desc;We are ushering in a new golden age of trade throughout the English Channel, the North Sea, and the Baltic. We will shatter the legitimacy of any pretender who dare attempt to threaten our gains.\n\n§YGain §BCut Down to Size§Y CBs against war enemies with cores on your Hanseatic possessions.§!;;;;;;;;;;;;;
country-workshop.refute-hanseatic-claims0_title;Refute Eastern Baltic Claims;;;;;;;;;;;;;
country-workshop.refute-hanseatic-claims0_desc;Our enemies have been broken. They can no longer deny our sovereignty.\n\n§YCountries that you have beaten in war lose their cores on your Hanseatic possessions.§!;;;;;;;;;;;;;
country-workshop.refute-hanseatic-claims2_title;Refute Western Baltic Claims;;;;;;;;;;;;;
country-workshop.refute-hanseatic-claims2_desc;Our enemies have been broken. They can no longer deny our sovereignty.\n\n§YCountries that you have beaten in war lose their cores on your Hanseatic possessions.§!;;;;;;;;;;;;;
country-workshop.refute-hanseatic-claims3_title;Refute Claims on the Kontore;;;;;;;;;;;;;
country-workshop.refute-hanseatic-claims3_desc;Our enemies have been broken. They can no longer deny our sovereignty.\n\n§YCountries that you have beaten in war lose their cores on your Hanseatic possessions.§!;;;;;;;;;;;;;
country-workshop.set-hanseatic-reconquest-overlords_title;Waxing Power in the Baltic;;;;;;;;;;;;;
country-workshop.set-hanseatic-reconquest-overlords_desc;Now that control of Baltic trade is once again in contest, some of the more powerful countries in the region have emerged as de facto Hanseatic overlords.;;;;;;;;;;;;;
country-workshop.clear-hanseatic-reconquest-overlords_title;Waning Power in the Baltic;;;;;;;;;;;;;
country-workshop.clear-hanseatic-reconquest-overlords_desc;As peace settles in at last in some parts of the Baltic region, a new political order emerges: some of the old overlords are no more.;;;;;;;;;;;;;
#### Events;;;;;;;;;;;;;;
country-workshop.lost-hanseatic-claim.name;$COUNTRY$ Loses Hanseatic Claims;;;;;;;;;;;;;
country-workshop.lost-hanseatic-claim.desc;\nWith nothing standing in the way of $FROMCOUNTRY$, the situation has become undeniable. We are no longer able to claim some of our former possessions as legitimately ours.;;;;;;;;;;;;;
country-workshop.lost-hanseatic-claim.opt0;A black day.;;;;;;;;;;;;;
#### Flags;;;;;;;;;;;;;;
country-workshop.hanseatic-reconquest-stage0;Eastern Baltic Hanseatic Claimant;;;;;;;;;;;;;
country-workshop.hanseatic-reconquest-stage2;Western Baltic Hanseatic Claimant;;;;;;;;;;;;;
country-workshop.hanseatic-reconquest-stage3;Restorer of the Kontore;;;;;;;;;;;;;
country-workshop.hanseatic-reconquest-stage4;Restorer of the Hanseatic League;;;;;;;;;;;;;
country-workshop.hanseatic-reconquest-stage5;Unifier of the Hanseatic League;;;;;;;;;;;;;
#### Modifiers;;;;;;;;;;;;;;
country-workshop.hanseatic-tooltip0;Hanseatic Claimant;;;;;;;;;;;;;
country-workshop.hanseatic-tooltip0_desc;Our country has laid claims to historical Hanseatic possessions:\n\n• §GÖsel§!\n• §GRiga§!\n\nYou have access to §Yspecial Hanseatic CBs§! on these territories or their overlord.;;;;;;;;;;;;;
country-workshop.hanseatic-tooltip2;Hanseatic Claimant;;;;;;;;;;;;;
country-workshop.hanseatic-tooltip2_desc;Our country has laid claims to historical Hanseatic possessions:\n\n• §GÖsel§!\n• §GRiga§!\n\n• §GKönigsberg§!\n• §GDanzig§!\n• §GLübeck§!\n• §GHamburg§!\n• §GBremen§!\n\nYou have access to §Yspecial Hanseatic CBs§! on these territories or their overlord.;;;;;;;;;;;;;
country-workshop.hanseatic-tooltip3;Hanseatic Claimant;;;;;;;;;;;;;
country-workshop.hanseatic-tooltip3_desc;Our country has laid claims to historical Hanseatic possessions:\n\n• §GÖsel§!\n• §GRiga§!\n\n• §GKönigsberg§!\n• §GDanzig§!\n• §GLübeck§!\n• §GHamburg§!\n• §GBremen§!\n\n• §GLuga§!\n• §GBergen§!\n• §GBrugge§!\n• §GIpswitch§!\n\nYou have access to §Yspecial Hanseatic CBs§! on these territories or their overlord.;;;;;;;;;;;;;
country-workshop.hanseatic-challenger;Hanseatic Challenger;;;;;;;;;;;;;
country-workshop.hanseatic-challenger_desc;Our country has recently been challenged for control of historical Hanseatic possessions.;;;;;;;;;;;;;
## CBs & wars;;;;;;;;;;;;;;
country-workshop.hanseatic-reconquest;Hanseatic Control;;;;;;;;;;;;;
country-workshop.hanseatic-reconquest_desc;Reassert control of an historical §YHanseatic port§!.;;;;;;;;;;;;;
country-workshop.hanseatic-reconquest_setup;Gain historical §YHanseatic port§! controlled by $RECIPIENT$;;;;;;;;;;;;;
country-workshop.hanseatic-reconquest_short;Gain historical §YHanseatic port§!;;;;;;;;;;;;;
NORMAL_country-workshop.hanseatic-reconquest-war;$ORDER$$FIRST$ War of Hanseatic Control;;;;;;;;;;;;;
AGRESSION_country-workshop.hanseatic-reconquest-war;$ORDER$$FIRST$ War of Hanseatic Control;;;;;;;;;;;;;
country-workshop.hanseatic-restoration;Hanseatic Restoration;;;;;;;;;;;;;
country-workshop.hanseatic-restoration_desc;Restore control of historical §YHanseatic ports§!.;;;;;;;;;;;;;
country-workshop.hanseatic-restoration_setup;Annex historical §YHanseatic ports§! controlled by $RECIPIENT$;;;;;;;;;;;;;
country-workshop.hanseatic-restoration_short;Annex historical §YHanseatic ports§!;;;;;;;;;;;;;
NORMAL_country-workshop.hanseatic-restoration-war;$ORDER$$FIRST$ War of Hanseatic Restoration;;;;;;;;;;;;;
AGRESSION_country-workshop.hanseatic-restoration-war;$ORDER$$FIRST$ War of Hanseatic Restoration;;;;;;;;;;;;;
country-workshop.hanseatic-hegemony;Hanseatic Hegemony;;;;;;;;;;;;;
country-workshop.hanseatic-hegemony_desc;Reassert hegemony over historical §YHanseatic ports§! protected by an overlord.;;;;;;;;;;;;;
country-workshop.hanseatic-hegemony_setup;Gain historical §YHanseatic ports§! protected by $RECIPIENT$;;;;;;;;;;;;;
country-workshop.hanseatic-hegemony_short;Gain protected historical §YHanseatic ports§!;;;;;;;;;;;;;
NORMAL_country-workshop.hanseatic-hegemony-war;$ORDER$$FIRST$ War of Hanseatic Hegemony;;;;;;;;;;;;;
AGRESSION_country-workshop.hanseatic-hegemony-war;$ORDER$$FIRST$ War of Hanseatic Hegemony;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_GOT_NET;The $ORDER$War of Hanseatic Unification;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_GOT_NET;The $ORDER$War of Hanseatic Unification;;;;;;;;;;;;;
